index,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
1510,Gregory Hoblit,Dennis Quaid,Andre Braugher,Noah Emmerich,Crime Drama Mystery Sci-Fi Thriller,frequency,Dennis Quaid Andre Braugher Noah Emmerich Gregory Hoblit Crime Drama Mystery Sci-Fi Thriller
1511,Paul Feig,Ed Begley Jr.,Kate McKinnon,Zach Woods,Action Comedy Fantasy Sci-Fi,ghostbusters,Ed Begley Jr. Kate McKinnon Zach Woods Paul Feig Action Comedy Fantasy Sci-Fi
1512,John Francis Daley,Chris Hemsworth,Norman Reedus,Beverly D'Angelo,Adventure Comedy,vacation,Chris Hemsworth Norman Reedus Beverly D'Angelo John Francis Daley Adventure Comedy
1513,Barry Sonnenfeld,Delroy Lindo,Rene Russo,Jon Gries,Comedy Crime Thriller,get shorty,Delroy Lindo Rene Russo Jon Gries Barry Sonnenfeld Comedy Crime Thriller
1514,Rob Marshall,Colm Feore,Chita Rivera,Jayne Eastwood,Comedy Crime Musical,chicago,Colm Feore Chita Rivera Jayne Eastwood Rob Marshall Comedy Crime Musical
1515,Dennis Dugan,Steve Buscemi,Adam Sandler,Joey Lauren Adams,Comedy Drama,big daddy,Steve Buscemi Adam Sandler Joey Lauren Adams Dennis Dugan Comedy Drama
1516,J.B. Rogers,Alyson Hannigan,Shannon Elizabeth,Natasha Lyonne,Comedy,american pie 2,Alyson Hannigan Shannon Elizabeth Natasha Lyonne J.B. Rogers Comedy
1517,John Lasseter,Tom Hanks,John Ratzenberger,Jim Varney,Adventure Animation Comedy Family Fantasy,toy story,Tom Hanks John Ratzenberger Jim Varney John Lasseter Adventure Animation Comedy Family Fantasy
1518,Jan de Bont,Keanu Reeves,Alan Ruck,Joe Morton,Action Adventure Crime Thriller,speed,Keanu Reeves Alan Ruck Joe Morton Jan de Bont Action Adventure Crime Thriller
1519,Michael Sucsy,Channing Tatum,Lucas Bryant,Dillon Casey,Drama Romance,the vow,Channing Tatum Lucas Bryant Dillon Casey Michael Sucsy Drama Romance
1520,Tom Vaughan,Harrison Ford,Brendan Fraser,Alan Ruck,Drama,extraordinary measures,Harrison Ford Brendan Fraser Alan Ruck Tom Vaughan Drama
1521,Boaz Yakin,Ryan Gosling,Denzel Washington,Ethan Suplee,Biography Drama Sport,remember the titans,Ryan Gosling Denzel Washington Ethan Suplee Boaz Yakin Biography Drama Sport
1522,John McTiernan,Scott Glenn,Jeffrey Jones,Courtney B. Vance,Action Adventure Thriller,the hunt for red october,Scott Glenn Jeffrey Jones Courtney B. Vance John McTiernan Action Adventure Thriller
1523,Lee Daniels,Alex Pettyfer,David Oyelowo,Vanessa Redgrave,Biography Drama,lee daniels' the butler,Alex Pettyfer David Oyelowo Vanessa Redgrave Lee Daniels Biography Drama
1524,Barry Sonnenfeld,Anjelica Huston,Raul Julia,Carel Struycken,Comedy Fantasy,the addams family,Anjelica Huston Raul Julia Carel Struycken Barry Sonnenfeld Comedy Fantasy
1525,Steve Oedekerk,Bruce Spence,Bob Gunton,Sophie Okonedo,Adventure Comedy,ace ventura: when nature calls,Bruce Spence Bob Gunton Sophie Okonedo Steve Oedekerk Adventure Comedy
1526,Garry Marshall,Anne Hathaway,Hector Elizondo,Heather Matarazzo,Comedy Family Romance,the princess diaries,Anne Hathaway Hector Elizondo Heather Matarazzo Garry Marshall Comedy Family Romance
1527,Hugh Wilson,Stockard Channing,Elizabeth Berkley,Stephen Collins,Comedy,the first wives club,Stockard Channing Elizabeth Berkley Stephen Collins Hugh Wilson Comedy
1528,David Fincher,Morgan Freeman,Brad Pitt,Reg E. Cathey,Crime Drama Mystery Thriller,se7en,Morgan Freeman Brad Pitt Reg E. Cathey David Fincher Crime Drama Mystery Thriller
1529,Neill Blomkamp,Sharlto Copley,Jed Brophy,Jason Cope,Action Sci-Fi Thriller,district 9,Sharlto Copley Jed Brophy Jason Cope Neill Blomkamp Action Sci-Fi Thriller
1530,Stephen Hillenburg,Scarlett Johansson,Bill Fagerbakke,Rodger Bumpass,Adventure Animation Comedy Family Fantasy,the spongebob squarepants movie,Scarlett Johansson Bill Fagerbakke Rodger Bumpass Stephen Hillenburg Adventure Animation Comedy Family Fantasy
1531,Clint Eastwood,John Doman,Spencer Treat Clark,Tom Guiry,Crime Drama Mystery Thriller,mystic river,John Doman Spencer Treat Clark Tom Guiry Clint Eastwood Crime Drama Mystery Thriller
1532,Clint Eastwood,Clint Eastwood,Morgan Freeman,Mike Colter,Drama Sport,million dollar baby,Clint Eastwood Morgan Freeman Mike Colter Clint Eastwood Drama Sport
1533,Harold Ramis,Robert De Niro,Chazz Palminteri,Molly Shannon,Comedy Crime,analyze this,Robert De Niro Chazz Palminteri Molly Shannon Harold Ramis Comedy Crime
1534,Nick Cassavetes,Ryan Gosling,Kevin Connolly,Gena Rowlands,Drama Romance,the notebook,Ryan Gosling Kevin Connolly Gena Rowlands Nick Cassavetes Drama Romance
1535,Anne Fletcher,Judy Greer,Bern Cohen,Yetta Gottesman,Comedy Romance,27 dresses,Judy Greer Bern Cohen Yetta Gottesman Anne Fletcher Comedy Romance
1536,Peter Chelsom,Emily Osment,Vanessa Williams,Moises Arias,Comedy Drama Family Music Romance,hannah montana: the movie,Emily Osment Vanessa Williams Moises Arias Peter Chelsom Comedy Drama Family Music Romance
1537,Stig Bergqvist,Elizabeth Daily,Casey Kasem,Debbie Reynolds,Adventure Animation Comedy Family Romance,rugrats in paris: the movie,Elizabeth Daily Casey Kasem Debbie Reynolds Stig Bergqvist Adventure Animation Comedy Family Romance
1538,Barbra Streisand,George Carlin,Blythe Danner,Melinda Dillon,Drama Romance,the prince of tides,George Carlin Blythe Danner Melinda Dillon Barbra Streisand Drama Romance
1539,Edward Zwick,Anthony Hopkins,Brad Pitt,Julia Ormond,Drama Romance War Western,legends of the fall,Anthony Hopkins Brad Pitt Julia Ormond Edward Zwick Drama Romance War Western
1540,Jason Reitman,J.K. Simmons,Anna Kendrick,Chris Lowell,Drama Romance,up in the air,J.K. Simmons Anna Kendrick Chris Lowell Jason Reitman Drama Romance
1541,Alexander Payne,Hope Davis,June Squibb,Howard Hesseman,Comedy Drama,about schmidt,Hope Davis June Squibb Howard Hesseman Alexander Payne Comedy Drama
1542,Jonathan Levine,Cory Hardrict,Vincent Leclerc,Daniel Rindress-Kay,Comedy Horror Romance,warm bodies,Cory Hardrict Vincent Leclerc Daniel Rindress-Kay Jonathan Levine Comedy Horror Romance
1543,Rian Johnson,Joseph Gordon-Levitt,Bruce Willis,Tracie Thoms,Action Crime Drama Sci-Fi Thriller,looper,Joseph Gordon-Levitt Bruce Willis Tracie Thoms Rian Johnson Action Crime Drama Sci-Fi Thriller
1544,Chris Weitz,Chazz Palminteri,Mark Addy,Wanda Sykes,Comedy Fantasy,down to earth,Chazz Palminteri Mark Addy Wanda Sykes Chris Weitz Comedy Fantasy
1545,Chris Noonan,Miriam Margolyes,Christine Cavanaugh,Roscoe Lee Browne,Comedy Drama Family,babe,Miriam Margolyes Christine Cavanaugh Roscoe Lee Browne Chris Noonan Comedy Drama Family
1546,David Frankel,Meryl Streep,Steve Carell,Jean Smart,Comedy Drama Romance,hope springs,Meryl Streep Steve Carell Jean Smart David Frankel Comedy Drama Romance
1547,Nicholas Stoller,Mila Kunis,Jack McBrayer,Maria Thayer,Comedy Drama Romance,forgetting sarah marshall,Mila Kunis Jack McBrayer Maria Thayer Nicholas Stoller Comedy Drama Romance
1548,unknown,Zach Gilford,Aimee Teegarden,Scott Porter,Drama Sport,friday night lights            ,Zach Gilford Aimee Teegarden Scott Porter unknown Drama Sport
1549,John Singleton,Josh Charles,Tony Nappo,Fionnula Flanagan,Action Crime Drama Mystery Thriller,four brothers,Josh Charles Tony Nappo Fionnula Flanagan John Singleton Action Crime Drama Mystery Thriller
1550,Michael McCullers,Tina Fey,Amy Poehler,Romany Malco,Comedy Romance,baby mama,Tina Fey Amy Poehler Romany Malco Michael McCullers Comedy Romance
1551,Forest Whitaker,Bill Cobbs,Harry Connick Jr.,Gena Rowlands,Drama Romance,hope floats,Bill Cobbs Harry Connick Jr. Gena Rowlands Forest Whitaker Drama Romance
1552,Gary Winick,Anne Hathaway,Steve Howey,Candice Bergen,Comedy Romance,bride wars,Anne Hathaway Steve Howey Candice Bergen Gary Winick Comedy Romance
1553,Steven Brill,Antony Starr,Scott Adsit,Bonnie Somerville,Adventure Comedy Mystery,without a paddle,Antony Starr Scott Adsit Bonnie Somerville Steven Brill Adventure Comedy Mystery
1554,Gary Winick,Jennifer Garner,Judy Greer,Christa B. Allen,Comedy Fantasy Romance,13 going on 30,Jennifer Garner Judy Greer Christa B. Allen Gary Winick Comedy Fantasy Romance
1555,Woody Allen,Kurt Fuller,Audrey Fleurot,Nina Arianda,Comedy Fantasy Romance,midnight in paris,Kurt Fuller Audrey Fleurot Nina Arianda Woody Allen Comedy Fantasy Romance
1556,Peter Lepeniotis,Liam Neeson,Brendan Fraser,Sarah Gadon,Adventure Animation Comedy Family,the nut job,Liam Neeson Brendan Fraser Sarah Gadon Peter Lepeniotis Adventure Animation Comedy Family
1557,Ted Demme,Johnny Depp,Ethan Suplee,Jordi Mollà,Biography Crime Drama,blow,Johnny Depp Ethan Suplee Jordi Mollà Ted Demme Biography Crime Drama
1558,Luis Mandoki,Robin Wright,John Savage,Raphael Sbarge,Drama Romance,message in a bottle,Robin Wright John Savage Raphael Sbarge Luis Mandoki Drama Romance
1559,William Shatner,Leonard Nimoy,Nichelle Nichols,Walter Koenig,Action Adventure Sci-Fi Thriller,star trek v: the final frontier,Leonard Nimoy Nichelle Nichols Walter Koenig William Shatner Action Adventure Sci-Fi Thriller
1560,John Schultz,Brenda Song,Robert Forster,Anne Meara,Comedy Family Fantasy Sport,like mike,Brenda Song Robert Forster Anne Meara John Schultz Comedy Family Fantasy Sport
1561,Peter Segal,George Kennedy,Fred Ward,Priscilla Presley,Comedy Crime,naked gun 33 1/3: the final insult,George Kennedy Fred Ward Priscilla Presley Peter Segal Comedy Crime
1562,John Glen,Patrick Macnee,Alison Doody,Tanya Roberts,Action Adventure Thriller,a view to a kill,Patrick Macnee Alison Doody Tanya Roberts John Glen Action Adventure Thriller
1563,Steve Box,Mark Gatiss,Geraldine McEwan,Peter Sallis,Animation Comedy Family Mystery Sci-Fi,the curse of the were-rabbit,Mark Gatiss Geraldine McEwan Peter Sallis Steve Box Animation Comedy Family Mystery Sci-Fi
1564,Richard LaGravenese,Gerard Butler,Harry Connick Jr.,Nellie McKay,Drama Romance,p.s. i love you,Gerard Butler Harry Connick Jr. Nellie McKay Richard LaGravenese Drama Romance
1565,Frederik Du Chau,Bruce Greenwood,Frankie Muniz,M. Emmet Walsh,Adventure Comedy Drama Family Sport,racing stripes,Bruce Greenwood Frankie Muniz M. Emmet Walsh Frederik Du Chau Adventure Comedy Drama Family Sport
1566,Joe Wright,Benedict Cumberbatch,Alfie Allen,Brenda Blethyn,Drama Mystery Romance War,atonement,Benedict Cumberbatch Alfie Allen Brenda Blethyn Joe Wright Drama Mystery Romance War
1567,Gary Winick,Vanessa Redgrave,Marcia DeBonis,Luisa Ranieri,Comedy Drama Romance,letters to juliet,Vanessa Redgrave Marcia DeBonis Luisa Ranieri Gary Winick Comedy Drama Romance
1568,Ridley Scott,Stephen Root,Ken Takakura,Kate Capshaw,Action Crime Thriller,black rain,Stephen Root Ken Takakura Kate Capshaw Ridley Scott Action Crime Thriller
1569,Bobby Farrelly,Kate Upton,Larry David,Sean Hayes,Comedy,the three stooges,Kate Upton Larry David Sean Hayes Bobby Farrelly Comedy
1570,Tim Burton,Johnny Depp,Christopher Lee,Joanna Lumley,Animation Drama Family Fantasy Musical Romance,corpse bride,Johnny Depp Christopher Lee Joanna Lumley Tim Burton Animation Drama Family Fantasy Musical Romance
1571,James Gartner,Mehcad Brooks,Austin Nichols,Derek Luke,Biography Drama Sport,glory road,Mehcad Brooks Austin Nichols Derek Luke James Gartner Biography Drama Sport
1572,Denis Villeneuve,Edgar Arreola,Bernardo Saracino,Daniel Kaluuya,Action Crime Drama Mystery Thriller,sicario,Edgar Arreola Bernardo Saracino Daniel Kaluuya Denis Villeneuve Action Crime Drama Mystery Thriller
1573,Antoine Fuqua,Jake Gyllenhaal,50 Cent,Oona Laurence,Drama Sport,southpaw,Jake Gyllenhaal 50 Cent Oona Laurence Antoine Fuqua Drama Sport
1574,Sam Raimi,Bojana Novakovic,Alison Lohman,Reggie Lee,Horror Thriller,drag me to hell,Bojana Novakovic Alison Lohman Reggie Lee Sam Raimi Horror Thriller
1575,Lee Toland Krieger,Harrison Ford,Michiel Huisman,Ellen Burstyn,Drama Fantasy Romance,the age of adaline,Harrison Ford Michiel Huisman Ellen Burstyn Lee Toland Krieger Drama Fantasy Romance
1576,Tim McCanlies,Haley Joel Osment,Robert Duvall,Emmanuelle Vaugier,Comedy Drama Family,secondhand lions,Haley Joel Osment Robert Duvall Emmanuelle Vaugier Tim McCanlies Comedy Drama Family
1577,Jon M. Chu,Alyson Stoner,Stephen Boss,Facundo Lombard,Drama Music Romance,step up 3d,Alyson Stoner Stephen Boss Facundo Lombard Jon M. Chu Drama Music Romance
1578,John Stockwell,Faizon Love,Mika Boorem,Sanoe Lake,Drama Romance Sport,blue crush,Faizon Love Mika Boorem Sanoe Lake John Stockwell Drama Romance Sport
1579,Marc Forster,Will Ferrell,Christian Stolte,Danny Rhodes,Comedy Drama Fantasy Romance,stranger than fiction,Will Ferrell Christian Stolte Danny Rhodes Marc Forster Comedy Drama Fantasy Romance
1580,David Slade,Danny Huston,Mark Rendall,Megan Franich,Horror,30 days of night,Danny Huston Mark Rendall Megan Franich David Slade Horror
1581,Drew Goddard,Chris Hemsworth,Bradley Whitford,Kristen Connolly,Fantasy Horror Mystery Thriller,the cabin in the woods,Chris Hemsworth Bradley Whitford Kristen Connolly Drew Goddard Fantasy Horror Mystery Thriller
1582,Jason Friedberg,Carmen Electra,Diedrich Bader,Method Man,Comedy,meet the spartans,Carmen Electra Diedrich Bader Method Man Jason Friedberg Comedy
1583,Martin Brest,Robert De Niro,Yaphet Kotto,Philip Baker Hall,Action Comedy Crime Thriller,midnight run,Robert De Niro Yaphet Kotto Philip Baker Hall Martin Brest Action Comedy Crime Thriller
1584,Paul Michael Glaser,Yaphet Kotto,Maria Conchita Alonso,Richard Dawson,Action Crime Sci-Fi Thriller,the running man,Yaphet Kotto Maria Conchita Alonso Richard Dawson Paul Michael Glaser Action Crime Sci-Fi Thriller
1585,Frank Oz,Bill Murray,Jim Belushi,Tisha Campbell-Martin,Comedy Horror Musical Sci-Fi,little shop of horrors,Bill Murray Jim Belushi Tisha Campbell-Martin Frank Oz Comedy Horror Musical Sci-Fi
1586,Joe Wright,Jessica Barden,Vicky Krieps,John Macmillan,Action Drama Thriller,hanna,Jessica Barden Vicky Krieps John Macmillan Joe Wright Action Drama Thriller
1587,unknown,Zach Gilford,Joan Allen,Liam James,Drama Mystery,the family            ,Zach Gilford Joan Allen Liam James unknown Drama Mystery
1588,John R. Leonetti,Brian Thompson,Talisa Soto,Robin Shou,Action Adventure Fantasy Sci-Fi Thriller,mortal kombat: annihilation,Brian Thompson Talisa Soto Robin Shou John R. Leonetti Action Adventure Fantasy Sci-Fi Thriller
1589,Tom Hanks,Tom Hanks,Rob Riggle,Randall Park,Comedy Drama Romance,larry crowne,Tom Hanks Rob Riggle Randall Park Tom Hanks Comedy Drama Romance
1590,Liz Friedlander,Alfre Woodard,Yaya DaCosta,Jasika Nicole,Drama Music,take the lead,Alfre Woodard Yaya DaCosta Jasika Nicole Liz Friedlander Drama Music
1591,unknown,Debi Mazar,Kevin Connolly,Kevin Dillon,Comedy Drama,entourage            ,Debi Mazar Kevin Connolly Kevin Dillon unknown Comedy Drama
1592,Phil Joanou,Dwayne Johnson,Jurnee Smollett-Bell,Kevin Dunn,Crime Drama Sport,gridiron gang,Dwayne Johnson Jurnee Smollett-Bell Kevin Dunn Phil Joanou Crime Drama Sport
1593,Sam Weisman,Bernie Mac,Larry Miller,Richard Schiff,Comedy Crime,what's the worst that could happen?,Bernie Mac Larry Miller Richard Schiff Sam Weisman Comedy Crime
1594,Shane Acker,Martin Landau,Alan Oppenheimer,Tom Kane,Action Adventure Animation Drama Mystery Sci-Fi Thriller,9,Martin Landau Alan Oppenheimer Tom Kane Shane Acker Action Adventure Animation Drama Mystery Sci-Fi Thriller
1595,Martha Coolidge,Devin Ratray,Miranda Richardson,Luke Mably,Comedy Family Romance,the prince and me,Devin Ratray Miranda Richardson Luke Mably Martha Coolidge Comedy Family Romance
1596,Stephen J. Anderson,Craig Ferguson,Robert Lopez,Huell Howser,Adventure Animation Comedy Family Musical,winnie the pooh,Craig Ferguson Robert Lopez Huell Howser Stephen J. Anderson Adventure Animation Comedy Family Musical
1597,Troy Miller,Elden Henson,Mimi Rogers,Cheri Oteri,Comedy,dumb and dumberer: when harry met lloyd,Elden Henson Mimi Rogers Cheri Oteri Troy Miller Comedy
1598,Warren Beatty,Warren Beatty,Kirk Baltz,Graham Beckel,Comedy Drama Romance,bulworth,Warren Beatty Kirk Baltz Graham Beckel Warren Beatty Comedy Drama Romance
1599,Tate Taylor,Tika Sumpter,Josh Hopkins,Aunjanue Ellis,Biography Drama Music,get on up,Tika Sumpter Josh Hopkins Aunjanue Ellis Tate Taylor Biography Drama Music
1600,Carl Franklin,Meryl Streep,William Hurt,Tom Everett Scott,Drama,one true thing,Meryl Streep William Hurt Tom Everett Scott Carl Franklin Drama
1601,Brett Leonard,Denzel Washington,Costas Mandylor,Traci Lords,Action Crime Sci-Fi Thriller,virtuosity,Denzel Washington Costas Mandylor Traci Lords Brett Leonard Action Crime Sci-Fi Thriller
1602,Ivan Reitman,Rainn Wilson,Eddie Izzard,Wanda Sykes,Comedy Romance Sci-Fi,my super ex-girlfriend,Rainn Wilson Eddie Izzard Wanda Sykes Ivan Reitman Comedy Romance Sci-Fi
1603,Scott Derrickson,Olivia Munn,Dorian Missick,Edgar Ramírez,Horror Mystery Thriller,deliver us from evil,Olivia Munn Dorian Missick Edgar Ramírez Scott Derrickson Horror Mystery Thriller
1604,Alister Grierson,Ioan Gruffudd,Rhys Wakefield,Richard Roxburgh,Adventure Drama Thriller,sanctum,Ioan Gruffudd Rhys Wakefield Richard Roxburgh Alister Grierson Adventure Drama Thriller
1605,Nick Hurran,Holly Hunter,Kevin Sussman,Dave Annable,Comedy Drama Romance,little black book,Holly Hunter Kevin Sussman Dave Annable Nick Hurran Comedy Drama Romance
1606,Nicholas Stoller,Alison Brie,Jacki Weaver,David Paymer,Comedy Romance,the five-year engagement,Alison Brie Jacki Weaver David Paymer Nicholas Stoller Comedy Romance
1607,Charles Stone III,Bernie Mac,Chris Noth,Paul Sorvino,Comedy Drama Romance Sport,mr 3000,Bernie Mac Chris Noth Paul Sorvino Charles Stone III Comedy Drama Romance Sport
1608,Paul Haggis,Olivia Wilde,Daniel Stern,Aisha Hinds,Crime Drama Romance Thriller,the next three days,Olivia Wilde Daniel Stern Aisha Hinds Paul Haggis Crime Drama Romance Thriller
1609,Kurt Wimmer,Milla Jovovich,Cameron Bright,Nick Chinlund,Action Horror Sci-Fi Thriller,ultraviolet,Milla Jovovich Cameron Bright Nick Chinlund Kurt Wimmer Action Horror Sci-Fi Thriller
1610,Jean-François Richet,Brian Dennehy,Drea de Matteo,Hugh Dillon,Action Crime Drama Thriller,assault on precinct 13,Brian Dennehy Drea de Matteo Hugh Dillon Jean-François Richet Action Crime Drama Thriller
1611,Antoine Fuqua,Mira Sorvino,Clifton Collins Jr.,Patrick Kilpatrick,Action Crime Thriller,the replacement killers,Mira Sorvino Clifton Collins Jr. Patrick Kilpatrick Antoine Fuqua Action Crime Thriller
1612,Kevin Hooks,Salma Hayek,Stephen Baldwin,Will Patton,Action Adventure Crime Drama Romance,fled,Salma Hayek Stephen Baldwin Will Patton Kevin Hooks Action Adventure Crime Drama Romance
1613,Ellory Elkayem,Scarlett Johansson,Doug E. Doug,Riley Smith,Action Comedy Horror,eight legged freaks,Scarlett Johansson Doug E. Doug Riley Smith Ellory Elkayem Action Comedy Horror
1614,Edward Zwick,Jake Gyllenhaal,Anne Hathaway,Judy Greer,Comedy Drama Romance,love & other drugs,Jake Gyllenhaal Anne Hathaway Judy Greer Edward Zwick Comedy Drama Romance
1615,Jon Avnet,Al Pacino,Alicia Witt,Deborah Kara Unger,Crime Drama Mystery Thriller,88 minutes,Al Pacino Alicia Witt Deborah Kara Unger Jon Avnet Crime Drama Mystery Thriller
1616,Niki Caro,Jeremy Renner,Charlize Theron,Sissy Spacek,Drama,north country,Jeremy Renner Charlize Theron Sissy Spacek Niki Caro Drama
1617,Howard Deutch,Bruce Willis,Matthew Perry,Natasha Henstridge,Comedy Crime Thriller,the whole ten yards,Bruce Willis Matthew Perry Natasha Henstridge Howard Deutch Comedy Crime Thriller
1618,Vincenzo Natali,Sarah Polley,David Hewlett,Delphine Chanéac,Drama Horror Sci-Fi,splice,Sarah Polley David Hewlett Delphine Chanéac Vincenzo Natali Drama Horror Sci-Fi
1619,Willard Huyck,Lea Thompson,Jeffrey Jones,Jordan Prentice,Action Adventure Comedy Romance Sci-Fi,howard the duck,Lea Thompson Jeffrey Jones Jordan Prentice Willard Huyck Action Adventure Comedy Romance Sci-Fi
1620,Gavin O'Connor,Jennifer Ehle,Rick Gonzalez,Frank Grillo,Crime Drama Thriller,pride and glory,Jennifer Ehle Rick Gonzalez Frank Grillo Gavin O'Connor Crime Drama Thriller
1621,Bruce Hunt,Eddie Cibrian,Cole Hauser,Marcel Iures,Adventure Horror Thriller,the cave,Eddie Cibrian Cole Hauser Marcel Iures Bruce Hunt Adventure Horror Thriller
1622,Rob Reiner,David Paymer,Lobo Sebastian,Robert Costanzo,Comedy Romance,alex & emma,David Paymer Lobo Sebastian Robert Costanzo Rob Reiner Comedy Romance
1623,Craig Gillespie,Grace Phipps,Reid Ewing,Sandra Vergara,Comedy Horror,fright night,Grace Phipps Reid Ewing Sandra Vergara Craig Gillespie Comedy Horror
1624,Terrence Malick,Christian Bale,Michael Greyeyes,Wes Studi,Biography Drama History Romance,the new world,Christian Bale Michael Greyeyes Wes Studi Terrence Malick Biography Drama History Romance
1625,Chris Roberts,Saffron Burrows,David Suchet,Jürgen Prochnow,Action Adventure Sci-Fi,wing commander,Saffron Burrows David Suchet Jürgen Prochnow Chris Roberts Action Adventure Sci-Fi
1626,Neil Jordan,Robert Downey Jr.,Aidan Quinn,Paul Guilfoyle,Drama Fantasy Thriller,in dreams,Robert Downey Jr. Aidan Quinn Paul Guilfoyle Neil Jordan Drama Fantasy Thriller
1627,James Wong,Ian Whyte,Texas Battle,Randall Duk Kim,Action Adventure Fantasy Sci-Fi Thriller,dragonball: evolution,Ian Whyte Texas Battle Randall Duk Kim James Wong Action Adventure Fantasy Sci-Fi Thriller
1628,Jee-woon Kim,Zach Gilford,James Burnett,Christiana Leucas,Action Crime Thriller,the last stand,Zach Gilford James Burnett Christiana Leucas Jee-woon Kim Action Crime Thriller
1629,Nick Hamm,Robert De Niro,Cameron Bright,Munro Chambers,Drama Horror Sci-Fi Thriller,godsend,Robert De Niro Cameron Bright Munro Chambers Nick Hamm Drama Horror Sci-Fi Thriller
1630,Mike Disa,Amy Poehler,Phil LaMarr,Cheech Marin,Animation Comedy Family,hoodwinked too! hood vs. evil,Amy Poehler Phil LaMarr Cheech Marin Mike Disa Animation Comedy Family
1631,Lasse Hallström,Morgan Freeman,Camryn Manheim,Lynda Boyd,Drama,an unfinished life,Morgan Freeman Camryn Manheim Lynda Boyd Lasse Hallström Drama
1632,Terry Gilliam,Andrew Garfield,Lily Cole,Verne Troyer,Adventure Fantasy Mystery,the imaginarium of doctor parnassus,Andrew Garfield Lily Cole Verne Troyer Terry Gilliam Adventure Fantasy Mystery
1633,Richard J. Lewis,Mark Addy,Atom Egoyan,Paul Gross,Comedy Drama,barney's version,Mark Addy Atom Egoyan Paul Gross Richard J. Lewis Comedy Drama
1634,unknown,Ólafur Darri Ólafsson,Ingvar Eggert Sigurðsson,Björn Hlynur Haraldsson,Crime Drama Thriller,trapped            ,Ólafur Darri Ólafsson Ingvar Eggert Sigurðsson Björn Hlynur Haraldsson unknown Crime Drama Thriller
1635,Brad Furman,Justin Timberlake,John Heard,David Costabile,Crime Thriller,runner runner,Justin Timberlake John Heard David Costabile Brad Furman Crime Thriller
1636,Peter Howitt,Tyler Labine,Richard Roundtree,Ned Bellamy,Action Crime Drama Thriller,antitrust,Tyler Labine Richard Roundtree Ned Bellamy Peter Howitt Action Crime Drama Thriller
1637,Sergio Leone,Robert De Niro,Burt Young,Treat Williams,Crime Drama,once upon a time in america,Robert De Niro Burt Young Treat Williams Sergio Leone Crime Drama
1638,Niels Arden Oplev,Dominic Cooper,Isabelle Huppert,James Biberi,Action Crime Drama Thriller,dead man down,Dominic Cooper Isabelle Huppert James Biberi Niels Arden Oplev Action Crime Drama Thriller
1639,Michael Radford,Al Pacino,Mackenzie Crook,Kris Marshall,Drama Romance,the merchant of venice,Al Pacino Mackenzie Crook Kris Marshall Michael Radford Drama Romance
1640,Neil Jordan,Emir Kusturica,Saïd Taghmaoui,Tchéky Karyo,Action Crime Drama Romance Thriller,the good thief,Emir Kusturica Saïd Taghmaoui Tchéky Karyo Neil Jordan Action Crime Drama Romance Thriller
1641,Steve Boyum,Channing Tatum,Mike Vogel,Steve Howey,Action Drama Romance Sport,supercross,Channing Tatum Mike Vogel Steve Howey Steve Boyum Action Drama Romance Sport
1642,Chris Noonan,Emily Watson,Bill Paterson,Lucy Boynton,Biography Drama Romance,miss potter,Emily Watson Bill Paterson Lucy Boynton Chris Noonan Biography Drama Romance
1643,Corey Yuen,Steve Howey,Holly Valance,Sarah Carter,Action Adventure,doa: dead or alive,Steve Howey Holly Valance Sarah Carter Corey Yuen Action Adventure
1644,Andrew Dominik,Brad Pitt,Jeremy Renner,Sam Shepard,Biography Crime Drama History Western,the assassination of jesse james by the coward robert ford,Brad Pitt Jeremy Renner Sam Shepard Andrew Dominik Biography Crime Drama History Western
1645,Li Zhang,Bingbing Li,Joan Chen,Jaycee Chan,Action Adventure Drama History War,1911,Bingbing Li Joan Chen Jaycee Chan Li Zhang Action Adventure Drama History War
1646,Laurent Tirard,Louise Bourgoin,Sandrine Kiberlain,Kad Merad,Comedy Family,little nicholas,Louise Bourgoin Sandrine Kiberlain Kad Merad Laurent Tirard Comedy Family
1647,Simon West,Jason Statham,Michael Angarano,Jason Alexander,Action Crime Drama Thriller,wild card,Jason Statham Michael Angarano Jason Alexander Simon West Action Crime Drama Thriller
1648,Marc Forster,Gerard Butler,Madeline Carroll,Kathy Baker,Action Biography Crime Drama,machine gun preacher,Gerard Butler Madeline Carroll Kathy Baker Marc Forster Action Biography Crime Drama
1649,Reinhard Klooss,Jim Broadbent,Vanessa Redgrave,James Corden,Animation Comedy Family,animals united,Jim Broadbent Vanessa Redgrave James Corden Reinhard Klooss Animation Comedy Family
1650,Bille August,Terry Pheto,Patrick Lyster,Tyrone Keogh,Biography Drama History,the color of freedom,Terry Pheto Patrick Lyster Tyrone Keogh Bille August Biography Drama History
1651,Frédéric Auburtin,Fisher Stevens,Thomas Kretschmann,Jemima West,Drama History Sport,united passions,Fisher Stevens Thomas Kretschmann Jemima West Frédéric Auburtin Drama History Sport
1652,Olivier Dahan,Paz Vega,Frank Langella,Derek Jacobi,Biography Drama Romance,grace of monaco,Paz Vega Frank Langella Derek Jacobi Olivier Dahan Biography Drama Romance
1653,Maksim Fadeev,Konstantin Khabenskiy,Fedor Bondarchuk,Sergey Garmash,Adventure Animation Fantasy,a warrior's tail,Konstantin Khabenskiy Fedor Bondarchuk Sergey Garmash Maksim Fadeev Adventure Animation Fantasy
